proxy,depth,upper_age,lower_age,age,variable,count
llaviucu_diatoms_counts,93,1765,1802,NA,Aulacoseira.alpigena,5
llaviucu_diatoms_counts,95,1839,1874,NA,Aulacoseira.alpigena,26
llaviucu_diatoms_counts,97,1908,1941,NA,Aulacoseira.alpigena,30
llaviucu_diatoms_counts,98,1941,1973,NA,Aulacoseira.alpigena,15
llaviucu_diatoms_counts,101,2035,2052,NA,Aulacoseira.alpigena,4
llaviucu_diatoms_counts,103,2070,2099,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,105,2127,2155,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,107,2182,2208,NA,Aulacoseira.alpigena,7
llaviucu_diatoms_counts,108,2208,2234,NA,Aulacoseira.alpigena,9
llaviucu_diatoms_counts,110,2260,2285,NA,Aulacoseira.alpigena,3
llaviucu_diatoms_counts,111,2285,2310,NA,Aulacoseira.alpigena,9
llaviucu_diatoms_counts,114,2358,2382,NA,Aulacoseira.alpigena,9
llaviucu_diatoms_counts,115,2382,2405,NA,Aulacoseira.alpigena,12
llaviucu_diatoms_counts,118,2450,2472,NA,Aulacoseira.alpigena,5
llaviucu_diatoms_counts,120,2488,2509,NA,Aulacoseira.alpigena,34
llaviucu_diatoms_counts,121,2509,2531,NA,Aulacoseira.alpigena,10
llaviucu_diatoms_counts,123,2551,2572,NA,Aulacoseira.alpigena,3
llaviucu_diatoms_counts,125,2586,2591,NA,Aulacoseira.alpigena,3
llaviucu_diatoms_counts,128,2613,2616,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,131,2649,2668,NA,Aulacoseira.alpigena,7
llaviucu_diatoms_counts,133,2687,2705,NA,Aulacoseira.alpigena,3
llaviucu_diatoms_counts,135,2707,2717,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,137,2735,2752,NA,Aulacoseira.alpigena,3
llaviucu_diatoms_counts,138,2752,2759,NA,Aulacoseira.alpigena,6
llaviucu_diatoms_counts,140,2776,2793,NA,Aulacoseira.alpigena,17
llaviucu_diatoms_counts,141,2793,2803,NA,Aulacoseira.alpigena,9
llaviucu_diatoms_counts,145,2852,2868,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,150,2931,2946,NA,Aulacoseira.alpigena,7
llaviucu_diatoms_counts,153,2961,2962,NA,Aulacoseira.alpigena,12
llaviucu_diatoms_counts,155,2967,2982,NA,Aulacoseira.alpigena,7
llaviucu_diatoms_counts,160,3016,3028,NA,Aulacoseira.alpigena,2
llaviucu_diatoms_counts,162,3036,3045,NA,Aulacoseira.alpigena,3
llaviucu_diatoms_counts,165,3064,3075,NA,Aulacoseira.alpigena,12
llaviucu_diatoms_counts,167,3083,3096,NA,Aulacoseira.alpigena,9
llaviucu_diatoms_counts,169,3104,3113,NA,Aulacoseira.alpigena,12
llaviucu_diatoms_counts,170,3113,3123,NA,Aulacoseira.alpigena,13
llaviucu_diatoms_counts,175,3162,3172,NA,Aulacoseira.alpigena,9
llaviucu_diatoms_counts,177,3181,3194,NA,Aulacoseira.alpigena,3
llaviucu_diatoms_counts,178,3194,3208,NA,Aulacoseira.alpigena,8
llaviucu_diatoms_counts,61,501,519,NA,Aulacoseira.cf.distans,1
llaviucu_diatoms_counts,78,1255,1308,NA,Aulacoseira.cf.distans,1
llaviucu_diatoms_counts,90,1690,1703,NA,Aulacoseira.cf.distans,4
llaviucu_diatoms_counts,93,1765,1802,NA,Aulacoseira.cf.distans,2
llaviucu_diatoms_counts,103,2070,2099,NA,Aulacoseira.cf.distans,3
llaviucu_diatoms_counts,110,2260,2285,NA,Aulacoseira.cf.distans,1
llaviucu_diatoms_counts,120,2488,2509,NA,Aulacoseira.cf.distans,5
llaviucu_diatoms_counts,121,2509,2531,NA,Aulacoseira.cf.distans,3
llaviucu_diatoms_counts,123,2551,2572,NA,Aulacoseira.cf.distans,1
llaviucu_diatoms_counts,133,2687,2705,NA,Aulacoseira.cf.distans,3
llaviucu_diatoms_counts,135,2707,2717,NA,Aulacoseira.cf.distans,18
llaviucu_diatoms_counts,138,2752,2759,NA,Aulacoseira.cf.distans,3
llaviucu_diatoms_counts,140,2776,2793,NA,Aulacoseira.cf.distans,14
llaviucu_diatoms_counts,141,2793,2803,NA,Aulacoseira.cf.distans,16
llaviucu_diatoms_counts,143,2820,2836,NA,Aulacoseira.cf.distans,10
llaviucu_diatoms_counts,145,2852,2868,NA,Aulacoseira.cf.distans,25
llaviucu_diatoms_counts,147,2884,2900,NA,Aulacoseira.cf.distans,12
llaviucu_diatoms_counts,150,2931,2946,NA,Aulacoseira.cf.distans,9
llaviucu_diatoms_counts,155,2967,2982,NA,Aulacoseira.cf.distans,26
llaviucu_diatoms_counts,157,2997,3000,NA,Aulacoseira.cf.distans,1
llaviucu_diatoms_counts,158,3000,3003,NA,Aulacoseira.cf.distans,17
llaviucu_diatoms_counts,160,3016,3028,NA,Aulacoseira.cf.distans,15
llaviucu_diatoms_counts,162,3036,3045,NA,Aulacoseira.cf.distans,32
llaviucu_diatoms_counts,163,3045,3060,NA,Aulacoseira.cf.distans,35
llaviucu_diatoms_counts,165,3064,3075,NA,Aulacoseira.cf.distans,22
llaviucu_diatoms_counts,167,3083,3096,NA,Aulacoseira.cf.distans,6
llaviucu_diatoms_counts,169,3104,3113,NA,Aulacoseira.cf.distans,52
llaviucu_diatoms_counts,170,3113,3123,NA,Aulacoseira.cf.distans,15
llaviucu_diatoms_counts,173,3140,3151,NA,Aulacoseira.cf.distans,2
llaviucu_diatoms_counts,175,3162,3172,NA,Aulacoseira.cf.distans,4
llaviucu_diatoms_counts,177,3181,3194,NA,Aulacoseira.cf.distans,14
llaviucu_diatoms_counts,178,3194,3208,NA,Aulacoseira.cf.distans,3
llaviucu_diatoms_counts,180,3208,3227,NA,Aulacoseira.cf.distans,19
